| Group                                                 | Title1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | Title2                                                                                                      | Title3                                                                                                | Title4                     | Title5                                                                                                                        | Title6 | Title7 | Title8 | Title9 | Title10 | isMultiChoice | isAnswer1Correct | Answer1                                                                                                                                                                                       | isAnswer2Correct | Answer2                                                                                                                                                                    | isAnswer3Correct | Answer3                                                                                                                                                                     | isAnswer4Correct | Answer4                                                                                                                                                                      | isAnswer5Correct | Answer5 | isAnswer6Correct | Answer6 | isAnswer7Correct | Answer7 | isAnswer8Correct | Answer8 | isAnswer9Correct | Answer9 | isAnswer10Correct | Answer10 |
| Specialist CT-MBT Certified Tester Model-Based Tester | The MBT models may support test design techniques or contain the representative items of those techniques. Which one of the following statements can be considered INCORRECT?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. Behavioral models only combined with decision tables.                                                                                                                                      |                  | B. Use case testing technique may be represented by activity diagrams.                                                                                                     |                  | C. The system behavioral models may contain decision tables.                                                                                                                |                  | D. Data structural models can use equivalence partitioning technique to define the specification of the data types and values.                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | MBT is usually associated with test case generation. Which one of the following statements can be considered as incorrect?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. The MBT approach can be used for test case generation with or without test generation tools, but it will impact the efficiency and effectiveness of test activities.                       | Y                | B. In the highest maturity approach, MBT tool automatically generates test cases and tester will do further intervention before executing those test cases.                |                  | C. A common usage of MBT is to let the tool generate test cases following some coverage criteria and to manually add some specific scenario-based tests.                    |                  | D. Traceability matrix may be automatically generated as the test artifacts from an MBT model.                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | For the workflow model shown below, what is the minimum number of partitions that should be tested to achieve 100% equivalence partition coverage?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Images\\CT-MBT_image25.png                                                                                  |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. 4                                                                                                                                                                                          |                  | B. 6                                                                                                                                                                       | Y                | C. 8                                                                                                                                                                        |                  | D. 10                                                                                                                                                                        |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following reasons is the most correct to explain why combining test selection criteria is good MBT practice?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. Combining test selection criteria can support obtaining a large set of test cases with different test selection criteria, to fit the test objective better and master test case explosion. |                  | B. Combining test selection criteria always decreases the number of test cases to reach the targeted test objective.                                                       |                  | C. Combining test selection criteria is the only way in MBT to avoid test case explosion.                                                                                   |                  | D. Combining test selection criteria is model coverage criterion be combined with scenario-based criterion to prevent test case explosion.                                   |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which one of the following statements best defines offline model-based testing?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. A model-based testing approach whereby test cases are generated and executed simultaneously.                                                                                               |                  | B. A model-based testing approach whereby test cases are generated and executed manually by business analysts.                                                             | Y                | C. A model-based test approach whereby test cases are generated first and executed in the future.                                                                           |                  | D. A model-based test approach whereby test cases are generated so that the next step of each test case is generated after executing the previous step.                      |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which THREE of the following are characteristics of the concrete test cases?\n(1) The test steps are defined in fine detail\n(2) The test cases are generated based on complementing the abstract test cases with required information.\n(3)The input data are defined in terms of general equivalence partitions\n(4)The test results have defined implementation level values\n(5)The test cases can be executed with the high-level test actions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)-(3)                                                                                                                                                                                | Y                | B. (1)-(2)-(4)                                                                                                                                                             |                  | C. (1)-(3)-(4)                                                                                                                                                              |                  | D. (1)-(3)-(5)                                                                                                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which TWO of the following statements regarding MBT methods for test execution are NOT true?\n(1) MBT is not used with automated test execution.\n(2) With the adaptation approach, there is no need to use the adaptation layer.\n(3) When using offline MBT test execution, generated test cases can be exported to the test management tool.\n(4) Offline test execution is generally applied with manual test execution.\n(5)The mixed approach uses the adaptation layer to transform abstract test cases into concrete test cases.                                                                                                                                                                                                                                                                                                                                                                                            |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               | Y                | A. (1)-(2)                                                                                                                                                                                    |                  | B. (3)-(4)                                                                                                                                                                 |                  | C. (4)-(5)                                                                                                                                                                  |                  | D. (1)-(5)                                                                                                                                                                   |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | The test team created a first version of an MBT model for testing an application that determines the proper amount to charge for an item at a point of sale (POS) machine.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Images\\CT-MBT_image26.png                                                                                  | Now, a new requirement turned up. Therefore, the test team created a second version of the MBT model: | Images\\CT-MBT_image27.png | Which one of the following statements is INCORRECT to describe the new requirements covered by test team in the second model? |        |        |        |        |         |               | Y                | A. It allows the customer to buy only one item or one set of items per checkout cart, discount 10% on the item if it is on sale.                                                              |                  | B. It allows give the 5% discount for the preferred customer                                                                                                               |                  | C. It allows give a 20% discount in case the customer spends over $200 even with or without any sale item in cart.                                                          |                  | D. It allows the customer to buy one or more items and it will give a 10% discount on each item if it is on sale.                                                            |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | In the project, the test team used MBT for automated generation and execution.\nWhich one of the following combinations of adaptation activities, regarding MBT test adaptation for test execution, is most correct?\n(1) Generate the test cases to a spreadsheet with the MBT model tool.\n(2) Provide the concrete input data and expected results required in the adaptation layer specifications. Link the test data to test execution tool.\n(3) Provide the abstract input data and expected results required in the MBT model. Link the test data to the test management tool.\n(4) Implements the test adaptation layer according to the adaptation layer specification, which may be contained in the MBT model or provided externally.\n(5) Setting up preconditions in each script is necessary in order to automated test execution.\n(6) Export the test cases as scripts in the language of the test execution tool. |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)-(3)-(4)                                                                                                                                                                            |                  | B. (1)-(3)-(4)-(5)                                                                                                                                                         |                  | C. (2)-(3)-(5)-(6)                                                                                                                                                          | Y                | D. (2)-(4)-(5)-(6)                                                                                                                                                           |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which TWO of the following benefits of MBT are the benefits for test quality?\n(1)Improved the consistency of the test design.\n(2)Saved the time-to-market.\n(3)Reduced the quality cost for a project by reuse effects.\n(4)Support the overall costs of a project by early defect detection.\n(5)Improved content and organization of the test design.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)                                                                                                                                                                                    |                  | B. (3)-(4)                                                                                                                                                                 | Y                | C. (1)-(5)                                                                                                                                                                  |                  | D. (3)-(5)                                                                                                                                                                   |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | Which of the following are NOT examples of how MBT can improve quality of testing?\n(1)By enabling the tester’s mindset and encouraging independence\n(2)By reducing the number and severity of human errors\n(3)By providing an abstraction level that will allow all stakeholders to understand the tests\n(4)By generating the test cases automatically\n(5)By providing test selection criteria adaptable for specific test objectives\n(6)By enabling coverage metrics and better capability for impact analysis                                                                                                                                                                                                                                                                                                                                                                                                               |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)                                                                                                                                                                                    | Y                | B. (3)-(4)                                                                                                                                                                 |                  | C. (5)-(6)                                                                                                                                                                  |                  | D. (1)-(6)                                                                                                                                                                   |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
| Specialist CT-MBT Certified Tester Model-Based Tester | The project decided to use MBT to test design, generation and execution.\nWhich of the following are metrics that can be tracked for MBT activities?\n(1)Number of defects found in the requirements by modeling activities.\n(2)Stakeholder satisfaction.\n(3)Requirements coverage (percentage) by generated test cases. \n(4)Number of bugs discovered by the client in user acceptance testing phase.\n(5)The effort (in person-days) spent on developing test models and applying test selection criteria.                                                                                                                                                                                                                                                                                                                                                                                                                     |                                                                                                             |                                                                                                       |                            |                                                                                                                               |        |        |        |        |         |               |                  | A. (1)-(2)-(4)                                                                                                                                                                                |                  | B. (3)-(4)-(5)                                                                                                                                                             | Y                | C. (1)-(3)-(5)                                                                                                                                                              |                  | D. (2)-(4)-(5)                                                                                                                                                               |                  |         |                  |         |                  |         |                  |         |                  |         |                   |          |
